Fighter_ID,First_Name,Nickname,Last_Name,Weight_Class,StatID,Wins,Losses,Draws,Title_Holder,Rank,P4P_Rank,Status,Link,Full_Name,Country,Age,Height,Weight,BMI,AvgFightTimeLong,AvgFightTimeShort,TakedownsLanded,TakedownDefense,TakedownAccuracy,SubmissionAttempts,SubmissionAverage,SigStrikesLanded,SigStrikesAccuracy,Knockdowns,SLpM,SApM,PlusMinus,SigStrikingDefense,TotStrikesLanded
623650,Lucie,,Pudilova,Women_Bantamweight,2879.0,8,2,0,False,14,,Active,http://www.ufc.com/fighter/lucie-pudilova,Lucie Pudilova,The Czech Republic,24,68.0,135.0,20.524437716262977,,,,,,,,,,,,,,,
654846,Hector,El Charro,Aldana,Welterweight,3069.0,4,1,0,False,,,Active,http://www.ufc.com/fighter/hector-aldana,Hector Aldana,Mexico,30,69.0,170.0,25.101869355177485,,,,,,,,,,,,,,,
623818,Magomed,Chaborz,Bibulatov,Flyweight,2880.0,14,1,0,False,11,,Active,http://www.ufc.com/fighter/magomed-bibulatov,Magomed Bibulatov,Russian Federation,30,65.0,125.0,20.798816568047336,,,,,,,,,,,,,,,
641626,Marcelo,,Golm,Heavyweight,3013.0,6,2,0,False,,,Active,http://www.ufc.com/fighter/marcelo-golm,Marcelo Golm,Brazil,26,75.0,265.0,33.11911111111111,,,,,,,,,,,,,,,
654847,Petr,No Mercy,Yan,Bantamweight,3068.0,10,1,0,False,,,Active,http://www.ufc.com/fighter/Petr-Yan,Petr Yan,Russian Federation,25,67.0,135.0,21.14167966139452,,,,,,,,,,,,,,,
453512,Raquel,Rocky,Pennington,Women_Bantamweight,2150.0,9,8,0,False,4,,Active,http://www.ufc.com/fighter/raquel-pennington,Raquel Pennington,United States,30,67.0,135.0,21.14167966139452,,,,,,,,,,,,,,,
641628,Raoni,,Barcelos,Featherweight,3018.0,12,1,0,False,,,Active,http://www.ufc.com/fighter/raoni-barcelos,Raoni Barcelos,Brazil,31,67.0,145.0,22.707730006683004,,,,,,,,,,,,,,,
654933,Kevin,Trailblazer,Holland,Middleweight,3086.0,13,4,0,False,,,Active,http://www.ufc.com/fighter/kevin-holland,Kevin Holland,United States,26,75.0,185.0,23.120888888888892,,,,,,,,,,,,,,,
464450,Mairbek,Beckan,Taisumov,Lightweight,2144.0,27,5,0,False,,,Active,http://www.ufc.com/fighter/mairbek-taisumov,Mairbek Taisumov,Russian Federation,30,69.0,155.0,22.886998529720646,,,,,,,,,,,,,,,
592624,Jack,The Joker,Hermansson,Middleweight,2775.0,17,4,0,False,,,Active,http://www.ufc.com/fighter/jack-hermansson,Jack Hermansson,Sweden,30,73.0,185.0,24.405141677613063,,,,,,,,,,,,,3.15,,
654935,Montel,Quik,Jackson,Bantamweight,3082.0,6,0,0,False,,,Active,http://www.ufc.com/fighter/montel-jackson,Montel Jackson,United States,26,70.0,135.0,19.368367346938776,,,,,,,,,,,,,,,
231392,Dennis,The Menace,Bermudez,Featherweight,1907.0,17,9,0,False,,,Active,http://www.ufc.com/fighter/dennis-bermudez,Dennis Bermudez,United States,32,66.0,145.0,23.401056014692376,,,,,,,,,,,,,,,
453765,Wilson,,Reis,Flyweight,2095.0,22,9,0,False,6,,Active,http://www.ufc.com/fighter/wilson-reis,Wilson Reis,Brazil,33,64.0,125.0,21.453857421875,,,,,,,,,,,,,,,
661593,Bobby,The Wolfman,Moffett,Featherweight,3155.0,14,3,0,False,,,Active,http://www.ufc.com/fighter/bobby-moffett,Bobby Moffett,United States,28,70.0,145.0,20.803061224489795,,,,,,,,,,,,,,,
473164,Patrick,Durkin,Cummins,Light_Heavyweight,1694.0,10,6,0,False,,,Active,http://www.ufc.com/fighter/patrick-cummins,Patrick Cummins,United States,38,74.0,205.0,26.31756756756757,,,,,,,,,,,,,,,
231395,John,The Magician,Dodson,Bantamweight,1904.0,21,10,0,False,8,,Active,http://www.ufc.com/fighter/john-dodson,John Dodson,United States,34,63.0,135.0,23.911564625850342,,,,,,,,,,,,,,,
593837,Jessin,,Ayari,Welterweight,2776.0,16,5,0,False,,,Active,http://www.ufc.com/fighter/jessin-ayari,Jessin Ayari,Germany,26,72.0,170.0,23.053626543209877,,,,,,,,,,,,,,,
231402,Bryan,Kid Lightning,Caraway,Bantamweight,1184.0,21,9,0,False,,,Active,http://www.ufc.com/fighter/bryan-caraway,Bryan Caraway,United States,34,68.0,135.0,20.524437716262977,,,,,,,,,,,,,,,
310600,Derrick,The Black Beast,Lewis,Heavyweight,2082.0,21,6,0,False,2,,Active,http://www.ufc.com/fighter/derrick-lewis,Derrick Lewis,United States,33,75.0,265.0,33.11911111111111,,,,,,,,,,,,,,,
486125,Rob,,Font,Bantamweight,2266.0,15,4,0,False,10,,Active,http://www.ufc.com/fighter/rob-font,Rob Font,United States,31,68.0,135.0,20.524437716262977,,,,,,,,,,,,,,,
501693,Joanne,JoJo,Calderwood,Women_Flyweight,2339.0,12,3,0,False,10,,Active,http://www.ufc.com/fighter/joanne-calderwood,Joanne Calderwood,Scotland,31,66.0,125.0,20.173324150596876,,,,,,,,,,,,,,,
624468,Ashkan,The Assassin ,Mokhtarian,Flyweight,2883.0,13,3,0,False,,,Active,http://www.ufc.com/fighter/ashkan-mokhtarian,Ashkan Mokhtarian,Australia,33,66.0,125.0,20.173324150596876,,,,,,,,,,,,,,,
661596,Devonte,King Kage,Smith,Lightweight,3153.0,9,1,0,False,,,Active,http://www.ufc.com/fighter/devonte-smith,Devonte Smith,United States,25,68.0,155.0,23.565095155709344,,,,,,,,,,,,,,,
501694,Alex,Astro Girl,Chambers,Women_Strawweight,2346.0,5,5,0,False,,,Active,http://www.ufc.com/fighter/alex-chambers,Alex Chambers,Australia,40,63.0,115.0,20.369110607205844,,,,,,,,,,,,,,,
536796,Lyman,Cyborg,Good,Welterweight,2584.0,20,4,0,False,,,Active,http://www.ufc.com/fighter/lyman-good,Lyman Good,United States,33,72.0,170.0,23.053626543209877,,,,,,,,,,,,,,,
593993,Belal,Remember The Name,Muhammad,Welterweight,2778.0,14,2,0,False,,,Active,http://www.ufc.com/fighter/belal-muhammad,Belal Muhammad,United States,30,70.0,170.0,24.389795918367348,,,,,,,,,,,,,,,
624585,Tom,Fire Kid,Duquesnoy,Bantamweight,2882.0,15,2,0,False,,,Active,http://www.ufc.com/fighter/tom-duquesnoy,Tom Duquesnoy,France,25,67.0,135.0,21.14167966139452,,,,,,,,,,,,,,,
924,CB,The Doberman,Dollaway,Middleweight,507.0,18,10,0,False,,,Active,http://www.ufc.com/fighter/cb-dollaway,CB Dollaway,United States,35,74.0,185.0,23.75,,,,,,,,,,,,,,,
537071,Andrew,,Holbrook,Lightweight,2585.0,12,2,0,False,,,Active,http://www.ufc.com/fighter/andrew-holbrook,Andrew Holbrook,United States,32,71.0,155.0,21.61575084308669,,,,,,,2.12,,,,,,,,
594162,Devin,Brown Bear,Clark,Light_Heavyweight,2780.0,9,2,0,False,,,Active,http://www.ufc.com/fighter/devin-clark,Devin Clark,United States,28,72.0,205.0,27.79996141975309,,,,,,,,,,,,,,,
454212,Alan,Nuguette,Patrick,Lightweight,2101.0,15,2,0,False,,,Active,http://www.ufc.com/fighter/alan-patrick,Alan Patrick,Brazil,35,71.0,155.0,21.61575084308669,,,,,,,,,,,,,,,
594164,Matthew,,Lopez,Bantamweight,2781.0,10,4,0,False,,,Active,http://www.ufc.com/fighter/matthew-lopez,Matthew Lopez,United States,31,67.0,135.0,21.14167966139452,,,,,,,,,,,,,,,
654962,Blagoy,Baga,Ivanov,Heavyweight,3070.0,16,2,1,False,15,,Active,http://www.ufc.com/fighter/blagoy-ivanov,Blagoy Ivanov,Bulgaria,32,71.0,265.0,36.955961118825634,,,,,,,,,,,,,,,
927,Matt,The Immortal,Brown,Welterweight,432.0,23,16,0,False,,,Active,http://www.ufc.com/fighter/matt-brown,Matt Brown,United States,37,72.0,170.0,23.053626543209877,,,,,,,,,,,,,,,
537552,Jimmie,El Terror,Rivera,Bantamweight,2589.0,21,2,0,False,5,,Active,http://www.ufc.com/fighter/jimmie-rivera,Jimmie Rivera,United States,29,64.0,135.0,23.170166015625,,,,,,,,,,,,,,,
625980,Naoki,,Inoue,Flyweight,2885.0,11,0,0,False,,,Active,http://www.ufc.com/fighter/naoki-inoue,Naoki Inoue,Japan,21,68.0,125.0,19.00410899653979,,,,,,,,,,,,,,,
501701,Carla,Cookie Monster,Esparza,Women_Strawweight,2338.0,14,6,0,False,9,,Active,http://www.ufc.com/fighter/Carla-Esparza,Carla Esparza,United States,31,61.0,115.0,21.726686374630475,,,,,,,,,,,,,,,
626218,Marlon,Magic,Moraes,Bantamweight,2887.0,21,5,1,False,4,,Active,http://www.ufc.com/fighter/marlon-moraes,Marlon Moraes,Brazil,30,66.0,135.0,21.787190082644628,,,,,,,,,,,,,,,
486257,Gilbert,Durinho,Burns,Lightweight,2288.0,14,3,0,False,,,Active,http://www.ufc.com/fighter/gilbert-burns,Gilbert Burns,Brazil,32,70.0,155.0,22.237755102040815,,,,,,,,,,,,,,,
501702,Felice,Lil Bulldog,Herrig,Women_Strawweight,2343.0,14,8,0,False,10,,Active,http://www.ufc.com/fighter/felice-herrig,Felice Herrig,United States,34,64.0,115.0,19.737548828125,,,,,,,,,,,,,,,
626441,Jared,Flash,Gordon,Lightweight,2890.0,14,2,0,False,,,Active,http://www.ufc.com/fighter/jared-gordon,Jared Gordon,United States,30,69.0,155.0,22.886998529720646,,,,,,,,,,,,,,,
641981,Merab,,Dvalishvili,Bantamweight,3020.0,8,3,0,False,,,Active,http://www.ufc.com/fighter/merab-dvalishvili,Merab Dvalishvili,Georgia (country),27,66.0,135.0,21.787190082644628,,,,,,,,,,,,,,,
642113,Muslim,King of Kung Fu,Salikhov,Welterweight,3021.0,14,2,0,False,,,Active,http://www.ufc.com/fighter/muslim-salikhov,Muslim Salikhov,Russian Federation,34,71.0,170.0,23.70759769886927,,,,,,,,,,,,,,,
269255,Myles,Fury,Jury,Featherweight,1974.0,17,3,0,False,,,Active,http://www.ufc.com/fighter/myles-jury,Myles Jury,United States,30,71.0,145.0,20.221186272564967,,,,,,,,,,,,1.48,,71.40,
595768,Marvin,The Italian Dream,Vettori,Middleweight,2783.0,12,4,1,False,,,Active,http://www.ufc.com/fighter/marvin-vettori,Marvin Vettori,Italy,25,72.0,185.0,25.087770061728396,,,,,,,,,,,,,,,
627511,Luke,The Jedi,Jumeau,Welterweight,2891.0,13,4,0,False,,,Active,http://www.ufc.com/fighter/luke-jumeau,Luke Jumeau,New Zealand,30,71.0,170.0,23.70759769886927,,,,,,,,,,,,,,,
