Fighter_ID,First_Name,Nickname,Last_Name,Weight_Class,StatID,Wins,Losses,Draws,Title_Holder,Rank,P4P_Rank,Status,Link
659523,Kevin,Angel of Death,Aguilar,Lightweight,,14,1,0,False,,,Active,http://www.ufc.com/fighter/kevin-aguilar
666312,Laureano,Pepi,Staropoli,Welterweight,,7,1,0,False,,,Active,http://www.ufc.com/fighter/laureano-staropoli
1092,Erik,New Breed,Koch,Lightweight,1092,15,6,0,False,,,Active,http://www.ufc.com/fighter/erik-koch
242414,Ryan,,LaFlare,Welterweight,2055,13,3,0,False,,,Active,http://www.ufc.com/fighter/ryan-laFlare
480087,Dhiego,,Lima,Welterweight,2282,14,7,0,False,,,Active,http://www.ufc.com/fighter/dhiego-lima
574489,David,,Teymur,Lightweight,2734,8,1,0,False,,,Active,http://www.ufc.com/fighter/david-teymur
636460,Allen,Pretty Boy,Crowder,Heavyweight,2998,9,3,0,False,,,Active,http://www.ufc.com/fighter/allen-crowder
659577,Jim,,Crute,Light_Heavyweight,,8,0,0,False,,,Active,http://www.ufc.com/fighter/jim-crute
666313,Jesus,El Mudo,Pinedo,Lightweight,,15,4,1,False,,,Active,http://www.ufc.com/fighter/jesus-pinedo
468640,Alexander,Thunder Of The North,Yakovlev,Welterweight,2200,23,8,1,False,,,Active,http://www.ufc.com/fighter/alexander-yakovlev
636461,Bevon,,Lewis,Middleweight,2995,5,0,0,False,,,Active,http://www.ufc.com/fighter/bevon-lewis
659578,Chris,The Big Buck,Birchler,Light_Heavyweight,,7,4,0,False,,,Active,http://www.ufc.com/fighter/chris-birchler
468641,Joe,Excalibur,Ellenberger,Lightweight,2176,15,2,0,False,,,Active,http://www.ufc.com/fighter/joe-ellenberger
530242,Michael,,Graves,Welterweight,2586,6,0,1,False,,,NotFighting,http://www.ufc.com/fighter/michael-graves
574554,Jarjis,Man Mountain,Danho,Heavyweight,2736,6,1,1,False,,,Active,http://www.ufc.com/fighter/jarjis-danho
636463,Matt,The SteamRolla,Frevola,Lightweight,2994,6,1,1,False,,,Active,http://www.ufc.com/fighter/matt-frevola
647437,Yana,,Kunitskaya,Women_Featherweight,3053,11,4,0,False,9,,Active,http://www.ufc.com/fighter/yana-kunitskaya
659579,Mike,,Davis,Featherweight,,5,1,0,False,,,Active,http://www.ufc.com/fighter/mike-davis
666314,Ariane,The Queen of Violence,Lipski,Women_Flyweight,,11,3,0,False,,,Active,http://www.ufc.com/fighter/ariane-lipski
307091,Uriah,Prime Time,Hall,Middleweight,2069,14,9,0,False,14,,Active,http://www.ufc.com/fighter/uriah-hall
530246,Nathan,Soulforce,Coy,Welterweight,1296,15,7,0,False,,,Active,http://www.ufc.com/fighter/nathan-coy
574620,Alex,The Great White,Morono,Welterweight,2737,14,5,0,False,,,Active,http://www.ufc.com/fighter/alex-morono
636464,Luke,,Flores,Lightweight,2629,7,1,0,False,,,Active,http://www.ufc.com/fighter/luke-flores
659580,Sodiq,Super,Yusuff,Featherweight,,6,1,0,False,,,Active,http://www.ufc.com/fighter/sodiq-yusuff
487,Rani,,Yahya,Bantamweight,1044,26,9,0,False,15,,Active,http://www.ufc.com/fighter/rani-yahya
307092,Kelvin,,Gastelum,Middleweight,2070,16,3,0,False,4,,Active,http://www.ufc.com/fighter/kelvin-gastelum
480092,Anton,The Body Snatcher,Berzin,Light_Heavyweight,2983,5,2,0,False,,,Active,http://www.ufc.com/fighter/anton-berzin
530247,Sabah,The Problem,Homasi,Welterweight,1462,11,8,0,False,,,Active,http://www.ufc.com/fighter/sabah-homasi
636493,Ramazan,Gorets,Emeev,Middleweight,3001,18,3,0,False,,,Active,http://www.ufc.com/fighter/ramazan-emeev
659581,Jeff,,Hughes,Heavyweight,,10,1,0,False,,,Active,http://www.ufc.com/fighter/jeff-hughes
1098,Igor,The Duke,Pokrajac,Light_Heavyweight,966,25,13,0,False,,,Active,http://www.ufc.com/fighter/igor-pokrajac
