Key,Year,Period,Title,Title_Year,Juan_Rating,Type,Released,Runtime,genres,IMDB_Rating,Votes,Rating_Diff,Top_Genre
470,2017,Summer,A Case of You,,4.0,movie,2013,89,"Comedy,Romance",5.7,10403.0,-1.7000000000000002,Comedy
471,2017,Summer,Finding Dory,,8.2,movie,2016,97,"Adventure,Animation,Comedy",7.3,204672.0,0.8999999999999995,Adventure
472,2017,Summer,Henry: Portrait of a Serial Killer,,6.3,movie,1989,83,"Biography,Crime,Drama",7.0,27568.0,-0.7000000000000002,Biography
474,2017,Summer,Begin Again,,7.5,movie,2013,104,"Comedy,Drama,Music",7.4,126706.0,0.09999999999999964,Comedy
475,2017,Summer,The Handmaiden,,8.8,movie,2016,144,"Drama,Romance,Thriller",8.1,71356.0,0.7000000000000011,Drama
484,2017,Summer,The Hero,,7.9,movie,2017,96,"Comedy,Drama,Romance",6.5,6293.0,1.4000000000000004,Comedy
493,2017,Summer,Clown,,2.0,movie,2014,100,"Drama,Fantasy,Horror",5.7,18924.0,-3.7,Drama
495,2017,Summer,Baby Driver,,9.8,movie,2017,112,"Action,Crime,Drama",7.6,339881.0,2.200000000000001,Action
496,2017,Summer,The Little Hours,,6.5,movie,2017,90,"Comedy,Romance",5.8,13044.0,0.7000000000000002,Comedy
497,2017,Summer,Kevin Hart: Laugh at My Pain,,8.3,movie,2011,89,"Comedy,Documentary",7.4,4814.0,0.9000000000000004,Comedy
498,2017,Summer,The Big Sick,,9.7,movie,2017,120,"Comedy,Drama,Romance",7.6,98353.0,2.0999999999999996,Comedy
499,2017,Summer,Tour de Pharmacy,,6.0,tvMovie,2017,39,"Comedy,Sport",7.1,7253.0,-1.0999999999999996,Comedy
500,2017,Summer,Wreckers,,6.6,movie,2011,85,Drama,6.0,2436.0,0.5999999999999996,Drama
501,2017,Summer,War for the Planet of the Apes,,8.7,movie,2017,140,"Action,Adventure,Drama",7.5,191310.0,1.1999999999999993,Action
504,2017,Summer,Conspiracy,,8.0,tvMovie,2001,96,"Biography,Drama,History",7.8,16110.0,0.20000000000000018,Biography
512,2017,Summer,Area 51,,3.0,movie,2015,91,"Horror,Sci-Fi,Thriller",4.2,11191.0,-1.2000000000000002,Horror
526,2017,Summer,The Monster,,7.0,movie,2016,91,"Drama,Fantasy,Horror",5.4,12263.0,1.5999999999999996,Drama
528,2017,Summer,Kevin Hart: I'm a Grown Little Man,,7.5,tvSpecial,2009,73,"Comedy,Documentary",7.7,3015.0,-0.20000000000000018,Comedy
529,2017,Summer,Kevin Hart: Seriously Funny,,8.0,tvSpecial,2010,72,"Comedy,Documentary",7.6,3933.0,0.40000000000000036,Comedy
530,2017,Summer,Medicine for Melancholy,,7.0,movie,2008,88,"Drama,Romance",6.7,1770.0,0.2999999999999998,Drama
531,2017,Summer,Comet,,7.8,movie,2014,91,"Comedy,Drama,Romance",6.8,15831.0,1.0,Comedy
532,2017,Summer,Chef,,8.6,movie,2014,114,"Adventure,Comedy,Drama",7.3,169256.0,1.2999999999999998,Adventure
536,2017,Fall,Dunkirk,,8.5,movie,2017,106,"Action,Drama,History",7.9,437838.0,0.5999999999999996,Action
537,2017,Fall,Spider-Man: Homecoming,,8.8,movie,2017,133,"Action,Adventure,Sci-Fi",7.5,379779.0,1.3000000000000007,Action
538,2017,Fall,"Two Days, One Night",,8.3,movie,2014,95,Drama,7.3,40444.0,1.0000000000000009,Drama
539,2017,Fall,The Incredible Jessica James,,7.2,movie,2017,85,Comedy,6.5,4806.0,0.7000000000000002,Comedy
540,2017,Fall,Logan Lucky,,8.8,movie,2017,118,"Comedy,Crime,Drama",7.0,99343.0,1.8000000000000007,Comedy
541,2017,Fall,Bob Roberts,,8.4,movie,1992,102,"Comedy,Drama",7.0,12443.0,1.4000000000000004,Comedy
542,2017,Fall,Hasan Minhaj: Homecoming King,,9.7,tvSpecial,2017,73,"Comedy,Documentary",8.2,4148.0,1.5,Comedy
548,2017,Fall,It,,8.2,movie,2017,135,"Horror,Thriller",7.4,327529.0,0.7999999999999989,Horror
