,Fighter,Date,Event,Class,Opponent,Method,Result,Last_Round,Round_Time
2552,Pedro Munhoz,2/22/2014,UFC 170: Rousey vs. McMann,Bantamweight,Raphael Assuncao,Decision - Unanimous,Loss,R3,0:00
2553,Amanda Nunes,12/29/2018,UFC 232: Jones vs. Gustafsson 2,Women's Featherweight,Cris Cyborg,,,,
2554,Amanda Nunes,5/12/2018,UFC 224: Nunes vs. Pennington,Women's Bantamweight,Raquel Pennington,KO/TKO,Title Win,R5,2:36
2555,Amanda Nunes,9/9/2017,UFC 215: Nunes vs Shevchenko 2,Women's Bantamweight,Valentina Shevchenko,Decision - Split,Title Win,R5,0:00
2556,Amanda Nunes,12/30/2016,UFC 207: Nunes vs. Rousey,Women's Bantamweight,Ronda Rousey,KO/TKO,Title Win,R1,0:48
2557,Amanda Nunes,7/9/2016,UFC 200: Tate vs Nunes,Women's Bantamweight,Miesha Tate,Submission,Title Win,R1,3:16
2558,Amanda Nunes,3/5/2016,UFC 196: McGregor vs Diaz,Women's Bantamweight,Valentina Shevchenko,Decision - Unanimous,Win,R3,0:00
2559,Amanda Nunes,8/8/2015,UFC Fight Night: Teixeira vs Saint Preux,Women's Bantamweight,Sara McMann,Submission,Win,R1,2:53
2560,Amanda Nunes,3/21/2015,UFC Fight Night: Maia vs LaFlare,Women's Bantamweight,Shayna Baszler,KO/TKO,Win,R1,1:56
2561,Amanda Nunes,9/27/2014,UFC 178: Johnson vs Cariaso,Women's Bantamweight,Cat Zingano,KO/TKO,Loss,R3,1:21
2562,Amanda Nunes,11/6/2013,UFC Fight Night 31: Fight for the Troops 3,Women's Bantamweight,Germaine de Randamie,KO/TKO,Win,R1,3:56
2563,Amanda Nunes,8/3/2013,UFC 163: Aldo vs. Jung,Women's Bantamweight,Sheila Gaff,KO/TKO,Win,R1,2:08
2564,Godofredo Pepey,1/27/2018,UFC Fight Night: Jacare vs. Brunson 2,Featherweight,Mirsad Bektic,KO/TKO,Loss,R1,2:47
2565,Godofredo Pepey,7/22/2017,UFC Fight Night: Weidman vs. Gastelum,Featherweight,Shane Burgos,Decision - Unanimous,Loss,R3,0:00
2566,Godofredo Pepey,9/24/2016,UFC Fight Night: Cyborg vs. Lansberg,Featherweight,Mike de la Torre,Submission,Win,R1,3:03
2567,Godofredo Pepey,7/23/2016,UFC Fight Night: Holm vs. Shevchenko,Featherweight,Darren Elkins,Decision - Unanimous,Loss,R3,0:00
2568,Godofredo Pepey,3/21/2015,UFC Fight Night: Maia vs LaFlare,Featherweight,Andre Fili,Submission,Win,R1,3:14
2569,Godofredo Pepey,9/13/2014,UFC Fight Night: Silva vs Arlovski,Featherweight,Dashon Johnson,Submission,Win,R1,4:29
2570,Godofredo Pepey,3/23/2014,UFC Fight Night 38: Shogun vs. Henderson,Featherweight,Noad Lahat,KO/TKO,Win,R1,2:39
2571,Godofredo Pepey,11/9/2013,UFC Fight Night 32: Belfort vs. Henderson,Featherweight,Sam Sicilia,KO/TKO,Loss,R1,1:42
2572,Godofredo Pepey,6/8/2013,UFC on FUEL TV 10,Featherweight,Felipe Arantes,KO/TKO,Loss,R1,3:32
2573,Godofredo Pepey,1/19/2013,UFC on FX 7,Featherweight,Milton Vieira,Decision - Split,Win,R3,0:00
2574,Godofredo Pepey,6/23/2012,UFC 147: Silva vs. Franklin 2,Featherweight,Rony Jason,Decision - Unanimous,Title Loss,R3,5:00
2575,Ben Rothwell,4/10/2016,UFC Fight Night: Rothwell vs Dos Santos,Heavyweight,Junior Dos Santos,Decision - Unanimous,Loss,R5,0:00
2576,Ben Rothwell,1/30/2016,UFC Fight Night: Johnson vs. Bader,Heavyweight,Josh Barnett,Submission,Win,R2,3:48
2577,Ben Rothwell,6/6/2015,UFC Fight Night: Boetsch vs Henderson,Heavyweight,Matt Mitrione,Submission,Win,R1,1:54
2578,Ben Rothwell,9/5/2014,UFC Fight Night 50: Souza vs. Mousasi,Heavyweight,Alistair Overeem,KO/TKO,Win,R1,2:19
2579,Ben Rothwell,8/31/2013,UFC 164: Henderson vs. Pettis 2,Heavyweight,Brandon Vera,KO/TKO,Win,R3,1:54
2580,Ben Rothwell,1/19/2013,UFC on FX 7,Heavyweight,Gabriel Gonzaga,Submission,Loss,R2,1:01
2581,Ben Rothwell,4/21/2012,UFC 145: Jones vs. Evans,Heavyweight,Brendan Schaub,KO/TKO,Win,R1,1:10
2582,Ben Rothwell,9/24/2011,UFC 135: Jones vs. Rampage,Heavyweight,Mark Hunt,Decision - Unanimous,Loss,R3,0:00
2583,Ben Rothwell,6/12/2010,UFC 115: Liddell vs. Franklin,Heavyweight,Gilbert Yvel,Decision - Unanimous,Win,R3,0:00
2584,Ben Rothwell,10/24/2009,UFC 104: Machida vs. Shogun,Heavyweight,Cain Velasquez,KO/TKO,Loss,R2,0:58
2585,Louis Smolka,11/24/2018,UFC Fight Night: Blaydes vs. Ngannou 2,Bantamweight,Su Mudaerji,Submission,Win,R2,2:07
2586,Louis Smolka,12/30/2017,UFC 219: Cyborg vs. Holm,Flyweight,Matheus Nicolau,Decision - Unanimous,Loss,R3,0:00
2587,Louis Smolka,4/15/2017,UFC Fight Night: Johnson vs. Reis,Flyweight,Tim Elliott,Decision - Unanimous,Loss,R3,0:00
2588,Louis Smolka,12/30/2016,UFC 207: Nunes vs. Rousey,Flyweight,Ray Borg,Decision - Unanimous,Loss,R3,0:00
2589,Louis Smolka,10/1/2016,UFC Fight Night: Lineker vs. Dodson,Flyweight,Brandon Moreno,Submission,Loss,R1,2:23
2590,Louis Smolka,7/13/2016,UFC Fight Night: McDonald vs. Lineker,Flyweight,Ben Nguyen,KO/TKO,Win,R2,4:41
2591,Louis Smolka,10/24/2015,UFC Fight Night: Holohan vs Smolka,Flyweight,Paddy Holohan,Submission,Win,R2,4:09
2592,Louis Smolka,7/11/2015,UFC 189: Mendes vs McGregor,Flyweight,Neil Seery,Decision - Unanimous,Win,R3,0:00
2593,Louis Smolka,11/7/2014,UFC Fight Night: Rockhold vs Bisping,Flyweight,Richie Vaculik,KO/TKO,Win,R3,0:18
2594,Louis Smolka,5/10/2014,UFC Fight Night 40: Brown vs. Silva,Flyweight,Chris Cariaso,Decision - Split,Loss,R3,0:00
2595,Louis Smolka,1/15/2014,UFC Fight Night 35: Rockhold vs. Philippou,Flyweight,Alptekin Ozkilic,Decision - Unanimous,Win,R3,0:00
2596,Peter Sobotta,3/17/2018,UFC Fight Night: Werdum vs. Volkov,Welterweight,Leon Edwards,KO/TKO,Loss,R3,4:59
2597,Peter Sobotta,5/28/2017,UFC Fight Night: Gustafsson vs. Teixeira,Welterweight,Ben Saunders,KO/TKO,Win,R2,2:29
2598,Peter Sobotta,9/3/2016,UFC Fight Night: Arlovski vs. Barnett,Welterweight,Nicolas Dalby,Decision - Unanimous,Win,R3,0:00
2599,Peter Sobotta,11/14/2015,UFC 193: Rousey vs Holm,Welterweight,Kyle Noke,KO/TKO,Loss,R1,2:01
2600,Peter Sobotta,6/20/2015,UFC Fight Night: Jedrzejczyk vs Penne,Welterweight,Steve Kennedy,Submission,Win,R1,2:57
2601,Peter Sobotta,5/31/2014,UFC Fight Night 41: Munoz vs. Mousasi,Welterweight,Pawel Pawlak,Decision - Unanimous,Win,R3,0:00
2602,Peter Sobotta,11/13/2010,UFC 122: Marquardt vs. Okami,Welterweight,Amir Sadollah,Decision - Unanimous,Loss,R3,0:00
2603,Peter Sobotta,6/12/2010,UFC 115: Liddell vs. Franklin,Welterweight,James Wilks,Decision - Unanimous,Loss,R3,0:00
2604,Peter Sobotta,6/13/2009,UFC 99: The Comeback,Middleweight,Paul Taylor,Decision - Unanimous,Loss,R3,0:00
2605,Olivier Aubin-Mercier,12/8/2018,UFC 231: Holloway vs. Ortega,Lightweight,Gilbert Burns,Decision - Unanimous,Loss,R3,0:00
2606,Olivier Aubin-Mercier,7/28/2018,UFC Fight Night: Alvarez vs. Poirier 2,Lightweight,Alexander Hernandez,Decision - Unanimous,Loss,R3,0:00
2607,Olivier Aubin-Mercier,4/7/2018,UFC 223: Khabib vs. Iaquinta,Lightweight,Evan Dunham,KO/TKO,Win,R1,0:53
2608,Olivier Aubin-Mercier,9/16/2017,UFC Fight Night: Rockhold vs. Branch,Lightweight,Anthony Rocco Martin,Decision - Split,Win,R3,0:00
2609,Olivier Aubin-Mercier,12/10/2016,UFC 206: Holloway vs. Pettis,Lightweight,Drew Dober,Submission,Win,R2,2:57
2610,Olivier Aubin-Mercier,6/18/2016,UFC Fight Night: MacDonald vs Thompson,Lightweight,Thibault Gouti,Submission,Win,R3,2:28
2611,Olivier Aubin-Mercier,1/30/2016,UFC Fight Night: Johnson vs. Bader,Lightweight,Diego Ferreira,Decision - Unanimous,Loss,R3,0:00
2612,Olivier Aubin-Mercier,8/23/2015,UFC Fight Night: Holloway vs Oliveira,Lightweight,Tony Sims,Decision - Unanimous,Win,R3,0:00
2613,Olivier Aubin-Mercier,4/25/2015,UFC 186: Johnson vs Horiguchi,Lightweight,David Michaud,Submission,Win,R3,1:35
2614,Olivier Aubin-Mercier,10/4/2014,UFC Fight Night: MacDonald vs Saffiedine,Lightweight,Jake Lindsey,Submission,Win,R2,3:22
2615,Olivier Aubin-Mercier,4/16/2014,UFC - TUF Nations: Canada vs. Australia Finale,Welterweight,Chad Laprise,Decision - Split,Loss,R3,0:00
2616,Nordine Taleb,10/27/2018,UFC Fight Night: Oezdemir vs. Smith,Welterweight,Sean Strickland,KO/TKO,Loss,R2,3:10
2617,Nordine Taleb,5/27/2018,UFC Fight Night: Thompson vs. Till,Welterweight,Claudio Silva,Submission,Loss,R1,4:31
2618,Nordine Taleb,12/16/2017,UFC Fight Night: Lawler vs. Dos Anjos,Welterweight,Danny Roberts,KO/TKO,Win,R1,0:59
2619,Nordine Taleb,5/28/2017,UFC Fight Night: Gustafsson vs. Teixeira,Welterweight,Oliver Enkamp,Decision - Unanimous,Win,R3,0:00
2620,Nordine Taleb,2/19/2017,UFC Fight Night: Lewis vs. Browne,Welterweight,Santiago Ponzinibbio,Decision - Unanimous,Loss,R3,0:00
2621,Nordine Taleb,3/5/2016,UFC 196: McGregor vs Diaz,Welterweight,Erick Silva,KO/TKO,Win,R2,1:34
2622,Nordine Taleb,8/1/2015,UFC 190: Rousey vs Correia,Welterweight,Warlley Alves,Submission,Loss,R2,4:11
2623,Nordine Taleb,4/25/2015,UFC 186: Johnson vs Horiguchi,Welterweight,Chris Clements,Decision - Unanimous,Win,R3,0:00
2624,Nordine Taleb,10/4/2014,UFC Fight Night: MacDonald vs Saffiedine,Welterweight,Li Jingliang,Decision - Split,Win,R3,0:00
2625,Nordine Taleb,4/16/2014,UFC - TUF Nations: Canada vs. Australia Finale,Middleweight,Vik Grujic,Decision - Unanimous,Win,R3,0:00
2626,Antonio Carlos Junior,4/14/2018,UFC Fight Night: Poirier vs. Gaethje,Middleweight,Tim Boetsch,Submission,Win,R1,4:28
2627,Antonio Carlos Junior,10/28/2017,UFC Fight Night: Brunson vs. Machida,Middleweight,Jack Marshman,Submission,Win,R1,4:30
2628,Antonio Carlos Junior,6/3/2017,UFC 212: Aldo vs. Holloway,Middleweight,Eric Spicely,Submission,Win,R2,3:49
2629,Antonio Carlos Junior,12/30/2016,UFC 207: Nunes vs. Rousey,Middleweight,Marvin Vettori,Decision - Unanimous,Win,R3,0:00
2630,Antonio Carlos Junior,9/17/2016,UFC Fight Night: Poirier vs. Johnson,Middleweight,Leonardo Augusto Leleco,Submission,Win,R3,4:46
2631,Antonio Carlos Junior,3/19/2016,UFC Fight Night: Hunt vs Mir,Middleweight,Daniel Kelly,KO/TKO,Loss,R3,1:36
2632,Antonio Carlos Junior,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,Middleweight,Kevin Casey,Could Not Continue,Draw,R1,0:11
2633,Antonio Carlos Junior,6/27/2015,UFC Fight Night: Machida vs Romero,Middleweight,Eddie Gordon,Submission,Win,R3,4:37
2634,Antonio Carlos Junior,12/20/2014,UFC Fight Night: Machida vs Dollaway,Light Heavyweight,Patrick Cummins,Decision - Unanimous,Loss,R3,0:00
2635,Antonio Carlos Junior,5/31/2014,UFC - TUF Brazil 3 Finale,Heavyweight,Vitor Miranda,Decision - Unanimous,Win,R3,0:00
2636,Anthony Hamilton,11/18/2017,UFC Fight Night: Werdum vs. Tybura,Heavyweight,Adam Wieczorek,Decision - Unanimous,Loss,R3,0:00
2637,Anthony Hamilton,9/16/2017,UFC Fight Night: Rockhold vs. Branch,Heavyweight,Daniel Spitz,KO/TKO,Loss,R1,0:24
2638,Anthony Hamilton,2/4/2017,UFC Fight Night: Bermudez vs. The Korean Zombie,Heavyweight,Marcel Fortuna,KO/TKO,Loss,R1,3:10
2639,Anthony Hamilton,12/9/2016,UFC Fight Night: Lewis vs. Abdurakhimov,Heavyweight,Francis Ngannou,Submission,Loss,R1,1:57
2640,Anthony Hamilton,7/30/2016,UFC 201: Lawler vs. Woodley,Heavyweight,Damian Grabowski,KO/TKO,Win,R1,0:14
2641,Anthony Hamilton,2/21/2016,UFC Fight Night: Cowboy vs Cowboy,Heavyweight,Shamil Abdurakhimov,Decision - Unanimous,Loss,R3,0:00
2642,Anthony Hamilton,4/11/2015,UFC Fight Night: Gonzaga vs Cro Cop 2,Heavyweight,Daniel Omielanczuk,Decision - Unanimous,Win,R3,0:00
2643,Anthony Hamilton,12/6/2014,UFC 181: Hendricks vs Lawler II,Heavyweight,Todd Duffee,KO/TKO,Loss,R1,0:33
2644,Anthony Hamilton,8/30/2014,UFC 177: Dillashaw vs. Soto,Heavyweight,Ruan Potts,KO/TKO,Win,R2,4:17
2645,Anthony Hamilton,6/28/2014,UFC Fight Night 44: Swanson vs. Stephens,Heavyweight,Aleksei Oleinik,Submission,Loss,R1,2:18
2646,Dan Hooker,12/15/2018,UFC Fight Night: Lee vs. Iaquinta,Lightweight,Edson Barboza,KO/TKO,Loss,R3,2:19
2647,Dan Hooker,7/7/2018,UFC 226: Miocic vs. Cormier,Lightweight,Gilbert Burns,KO/TKO,Win,R1,2:28
2648,Dan Hooker,4/21/2018,UFC Fight Night: Barboza vs. Lee,Lightweight,Jim Miller,KO/TKO,Win,R1,3:00
2649,Dan Hooker,12/30/2017,UFC 219: Cyborg vs. Holm,Lightweight,Marc Diakiese,Submission,Win,R3,0:42
2650,Dan Hooker,6/10/2017,UFC Fight Night: Lewis vs. Hunt,Lightweight,Ross Pearson,KO/TKO,Win,R2,3:02
2651,Dan Hooker,11/26/2016,UFC Fight Night: Whittaker vs. Brunson,Featherweight,Jason Knight,Decision - Unanimous,Loss,R3,0:00
2652,Dan Hooker,3/19/2016,UFC Fight Night: Hunt vs Mir,Featherweight,Mark Eddiva,Submission,Win,R1,1:24
2653,Dan Hooker,10/3/2015,UFC 192: Cormier vs Gustafsson,Featherweight,Yair Rodriguez,Decision - Unanimous,Loss,R3,0:00
2654,Dan Hooker,5/9/2015,UFC Fight Night: Miocic vs Hunt,Featherweight,Hatsu Hioki,KO/TKO,Win,R2,4:13
2655,Dan Hooker,9/20/2014,UFC Fight Night: Hunt vs Nelson,Featherweight,Maximo Blanco,Decision - Unanimous,Loss,R3,0:00
2656,Dan Hooker,6/28/2014,UFC Fight Night 43: Te Huna vs. Marquardt,Featherweight,Ian Entwistle,KO/TKO,Win,R1,3:34
2657,Bryan Barberena,2/17/2019,UFC Fight Night: Phoenix,Welterweight,Vicente Luque,,,,
2658,Bryan Barberena,8/25/2018,UFC Fight Night: Gaethje vs. Vick,Welterweight,Jake Ellenberger,KO/TKO,Win,R1,2:26
2659,Bryan Barberena,9/2/2017,UFC Fight Night: Volkov vs. Struve,Welterweight,Leon Edwards,Decision - Unanimous,Loss,R3,0:00
2660,Bryan Barberena,4/22/2017,UFC Fight Night: Swanson vs. Lobov,Welterweight,Joe Proctor,KO/TKO,Win,R1,3:30
2661,Bryan Barberena,12/17/2016,UFC Fight Night: VanZant vs. Waterson,Welterweight,Colby Covington,Decision - Unanimous,Loss,R3,0:00
2662,Bryan Barberena,5/14/2016,UFC 198: Werdum vs Miocic,Welterweight,Warlley Alves,Decision - Unanimous,Win,R3,0:00
2663,Bryan Barberena,1/30/2016,UFC Fight Night: Johnson vs. Bader,Welterweight,Sage Northcutt,Submission,Win,R2,3:06
2664,Bryan Barberena,4/25/2015,UFC 186: Johnson vs Horiguchi,Lightweight,Chad Laprise,Decision - Unanimous,Loss,R3,0:00
2665,Bryan Barberena,12/13/2014,UFC Fight Night: Dos Santos vs Miocic,Lightweight,Joe Ellenberger,KO/TKO,Win,R3,3:24
2666,Gilbert Burns,12/8/2018,UFC 231: Holloway vs. Ortega,Lightweight,Olivier Aubin-Mercier,Decision - Unanimous,Win,R3,0:00
2667,Gilbert Burns,7/7/2018,UFC 226: Miocic vs. Cormier,Lightweight,Dan Hooker,KO/TKO,Loss,R1,2:28
2668,Gilbert Burns,4/14/2018,UFC Fight Night: Poirier vs. Gaethje,Lightweight,Dan Moret,KO/TKO,Win,R2,0:59
2669,Gilbert Burns,9/16/2017,UFC Fight Night: Rockhold vs. Branch,Lightweight,Jason Saggo,KO/TKO,Win,R2,4:55
2670,Gilbert Burns,9/24/2016,UFC Fight Night: Cyborg vs. Lansberg,Lightweight,Michel Prazeres,Decision - Unanimous,Loss,R3,0:00
2671,Gilbert Burns,7/7/2016,UFC Fight Night: Dos Anjos vs. Alvarez,Lightweight,Lukasz Sajewski,Submission,Win,R1,4:57
2672,Gilbert Burns,11/7/2015,UFC Fight Night: Belfort vs Henderson,Lightweight,Rashid Magomedov,Decision - Unanimous,Loss,R3,0:00
2673,Gilbert Burns,3/21/2015,UFC Fight Night: Maia vs LaFlare,Lightweight,Alex Oliveira,Submission,Win,R3,4:14
2674,Gilbert Burns,10/25/2014,UFC 179: Aldo vs Mendes 2,Lightweight,Christos Giagos,Submission,Win,R1,4:57
2675,Gilbert Burns,7/26/2014,UFC on Fox 12,Welterweight,Andreas Stahl,Decision - Unanimous,Win,R3,0:00
2676,Omari Akhmedov,12/30/2017,UFC 219: Cyborg vs. Holm,Middleweight,Marvin Vettori,Decision - Majority,Draw,R3,0:00
2677,Omari Akhmedov,5/28/2017,UFC Fight Night: Gustafsson vs. Teixeira,Welterweight,Abdul Razak Alhassan,Decision - Split,Win,R3,0:00
2678,Omari Akhmedov,11/26/2016,UFC Fight Night: Whittaker vs. Brunson,Welterweight,Kyle Noke,Decision - Unanimous,Win,R3,0:00
2679,Omari Akhmedov,4/16/2016,UFC Fight Night: Teixeira vs Evans,Welterweight,Elizeu Zaleski dos Santos,KO/TKO,Loss,R3,3:03
2680,Omari Akhmedov,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,Welterweight,Sergio Moraes,KO/TKO,Loss,R3,2:18
2681,Omari Akhmedov,6/6/2015,UFC Fight Night: Boetsch vs Henderson,Welterweight,Brian Ebersole,KO/TKO,Win,R1,5:00
2682,Omari Akhmedov,1/3/2015,UFC 182: Jones vs Cormier,Welterweight,Mats Nilsson,Decision - Unanimous,Win,R3,0:00
2683,Omari Akhmedov,3/8/2014,UFC Fight Night 37: Gustafsson vs. Manuwa,Welterweight,Gunnar Nelson,Submission,Loss,R1,4:36
2684,Omari Akhmedov,11/9/2013,UFC Fight Night 32: Belfort vs. Henderson,Middleweight,Thiago Perpetuo,KO/TKO,Win,R1,3:31
2685,Josh Barnett,9/3/2016,UFC Fight Night: Arlovski vs. Barnett,Heavyweight,Andrei Arlovski,Submission,Win,R3,2:53
2686,Josh Barnett,1/30/2016,UFC Fight Night: Johnson vs. Bader,Heavyweight,Ben Rothwell,Submission,Loss,R2,3:48
2687,Josh Barnett,9/26/2015,UFC Fight Night: Barnett vs Nelson,Heavyweight,Roy Nelson,Decision - Unanimous,Win,R5,0:00
2688,Josh Barnett,12/28/2013,UFC 168: Weidman vs. Silva 2,Heavyweight,Travis Browne,KO/TKO,Loss,R1,1:00
2689,Josh Barnett,8/31/2013,UFC 164: Henderson vs. Pettis 2,Heavyweight,Frank Mir,KO/TKO,Win,R1,1:56
2690,Josh Barnett,3/22/2002,UFC 36: Worlds Collide,Heavyweight,Randy Couture,KO/TKO,Title Win,R2,4:35
2691,Josh Barnett,11/2/2001,UFC 34: High Voltage,Heavyweight,Bobby Hoffman,KO/TKO,Win,R2,4:25
2692,Josh Barnett,6/29/2001,UFC 32: Showdown in the Meadowlands,Heavyweight,Semmy Schilt,Submission,Win,R1,4:21
2693,Josh Barnett,2/23/2001,UFC 30: Battle on the Boardwalk,Heavyweight,Pedro Rizzo,KO/TKO,Loss,R2,4:21
2694,Josh Barnett,11/17/2000,UFC 28: High Stakes,Super Heavyweight,Gan McGee,KO/TKO,Win,R2,4:34
2695,Zak Cummings,12/15/2018,UFC Fight Night: Lee vs. Iaquinta,Middleweight,Trevor Smith,Decision - Unanimous,Win,R3,0:00
2696,Zak Cummings,5/19/2018,UFC Fight Night: Maia vs. Usman,Welterweight,Michel Prazeres,Decision - Split,Loss,R3,0:00
2697,Zak Cummings,4/15/2017,UFC Fight Night: Johnson vs. Reis,Welterweight,Nathan Coy,Submission,Win,R1,4:21
2698,Zak Cummings,11/19/2016,UFC Fight Night: Mousasi vs. Hall 2,Welterweight,Alexander Yakovlev,Submission,Win,R2,4:02
2699,Zak Cummings,8/6/2016,UFC Fight Night: Rodriguez vs. Caceres,Welterweight,Santiago Ponzinibbio,Decision - Unanimous,Loss,R3,0:00
2700,Zak Cummings,4/10/2016,UFC Fight Night: Rothwell vs Dos Santos,Welterweight,Nicolas Dalby,Decision - Unanimous,Win,R3,0:00
2701,Zak Cummings,7/25/2015,UFC on FOX: Dillashaw vs. Barao II,Middleweight,Dominique Steele,KO/TKO,Win,R1,0:43
2702,Zak Cummings,7/19/2014,UFC Fight Night 46: McGregor vs. Brandao,Welterweight,Gunnar Nelson,Submission,Loss,R2,4:48
2703,Zak Cummings,5/10/2014,UFC Fight Night 40: Brown vs. Silva,Welterweight,Yan Cabral,Decision - Unanimous,Win,R3,0:00
2704,Zak Cummings,8/28/2013,UFC Fight Night 27: Condit vs. Kampmann 2,Welterweight,Benny Alloway,Submission,Win,R1,4:19
2705,Dan Hardy,9/29/2012,UFC on FUEL TV 5,Welterweight,Amir Sadollah,Decision - Unanimous,Win,R3,0:00
2706,Dan Hardy,5/26/2012,UFC 146: Dos Santos vs. Mir,Welterweight,Duane Ludwig,KO/TKO,Win,R1,3:51
2707,Dan Hardy,8/14/2011,UFC on Versus 5,Welterweight,Chris Lytle,Submission,Loss,R3,4:16
2708,Dan Hardy,3/26/2011,UFC Fight Night 24,Welterweight,Anthony Johnson,Decision - Unanimous,Loss,R3,0:00
2709,Dan Hardy,10/16/2010,UFC 120: Bisping vs. Akiyama,Welterweight,Carlos Condit,KO/TKO,Loss,R1,4:27
2710,Dan Hardy,3/27/2010,UFC 111: St. Pierre vs. Hardy,Welterweight,Georges St-Pierre,Decision - Unanimous,Title Loss,R5,0:00
2711,Dan Hardy,11/14/2009,UFC 105: Couture vs. Vera,Welterweight,Mike Swick,Decision - Unanimous,Win,R3,0:00
2712,Dan Hardy,6/13/2009,UFC 99: The Comeback,Welterweight,Marcus Davis,Decision - Split,Win,R3,0:00
2713,Dan Hardy,2/21/2009,UFC 95: Sanchez vs. Stevenson,Welterweight,Rory Markham,KO/TKO,Win,R1,1:09
2714,Dan Hardy,10/18/2008,UFC 89: Bisping vs. Leben,Welterweight,Akihiro Gono,Decision - Split,Win,R3,0:00
2715,John Hathaway,3/1/2014,UFC - TUF China Finale,Welterweight,Dong Hyun Kim,KO/TKO,Loss,R3,1:02
2716,John Hathaway,9/29/2012,UFC on FUEL TV 5,Welterweight,John Maguire,Decision - Unanimous,Win,R3,0:00
2717,John Hathaway,5/5/2012,UFC on Fox 3,Welterweight,Pascal Krauss,Decision - Unanimous,Win,R3,0:00
2718,John Hathaway,3/26/2011,UFC Fight Night 24,Welterweight,Kris McCray,Decision - Split,Win,R3,0:00
2719,John Hathaway,10/16/2010,UFC 120: Bisping vs. Akiyama,Welterweight,Mike Pyle,Decision - Unanimous,Loss,R3,0:00
2720,John Hathaway,5/29/2010,UFC 114: Jackson vs. Evans,Welterweight,Diego Sanchez,Decision - Unanimous,Win,R3,0:00
2721,John Hathaway,11/14/2009,UFC 105: Couture vs. Vera,Welterweight,Paul Taylor,Decision - Unanimous,Win,R3,0:00
2722,John Hathaway,6/13/2009,UFC 99: The Comeback,Welterweight,Rick Story,Decision - Unanimous,Win,R3,0:00
2723,John Hathaway,1/17/2009,UFC 93: Franklin vs. Henderson,Welterweight,Tom Egan,KO/TKO,Win,R1,4:36
2724,Nikita Krylov,9/15/2018,UFC Fight Night: Hunt vs. Oleinik,Light Heavyweight,Jan Blachowicz,Submission,Loss,R2,2:41
2725,Nikita Krylov,12/10/2016,UFC 206: Holloway vs. Pettis,Light Heavyweight,Misha Cirkunov,Submission,Loss,R1,4:38
2726,Nikita Krylov,7/30/2016,UFC 201: Lawler vs. Woodley,Light Heavyweight,Ed Herman,KO/TKO,Win,R2,0:40
2727,Nikita Krylov,5/8/2016,UFC Fight Night: Overeem vs Arlovski,Light Heavyweight,Francimar Barroso,Submission,Win,R2,3:11
2728,Nikita Krylov,8/23/2015,UFC Fight Night: Holloway vs Oliveira,Light Heavyweight,Marcos Rogerio de Lima,Submission,Win,R1,2:29
2729,Nikita Krylov,1/24/2015,UFC Fight Night: Gustafsson vs Johnson,Light Heavyweight,Stanislav Nedkov,Submission,Win,R1,1:24
2730,Nikita Krylov,7/19/2014,UFC Fight Night 46: McGregor vs. Brandao,Light Heavyweight,Cody Donovan,KO/TKO,Win,R1,4:57
2731,Nikita Krylov,3/15/2014,UFC 171: Hendricks vs. Lawler,Light Heavyweight,Ovince Saint Preux,Submission,Loss,R1,1:29
2732,Nikita Krylov,1/25/2014,UFC on Fox 10,Heavyweight,Walt Harris,KO/TKO,Win,R1,0:25
2733,Nikita Krylov,8/31/2013,UFC 164: Henderson vs. Pettis 2,Heavyweight,Soa Palelei,KO/TKO,Loss,R3,1:34
2734,Sara McMann,2/24/2018,UFC Fight Night: Emmett vs. Stephens,Women's Bantamweight,Marion Reneau,Submission,Loss,R2,3:40
2735,Sara McMann,9/9/2017,UFC 215: Nunes vs Shevchenko 2,Women's Bantamweight,Ketlen Vieira,Submission,Loss,R2,4:16
2736,Sara McMann,2/19/2017,UFC Fight Night: Lewis vs. Browne,Women's Bantamweight,Gina Mazany,Submission,Win,R1,1:14
2737,Sara McMann,12/3/2016,The Ultimate Fighter 24 Finale,Women's Bantamweight,Alexis Davis,Submission,Win,R2,2:52
2738,Sara McMann,5/29/2016,UFC Fight Night: Almeida vs Garbrandt,Women's Bantamweight,Jessica Eye,Decision - Unanimous,Win,R3,0:00
2739,Sara McMann,8/8/2015,UFC Fight Night: Teixeira vs Saint Preux,Women's Bantamweight,Amanda Nunes,Submission,Loss,R1,2:53
2740,Sara McMann,1/31/2015,UFC 183: Silva vs Diaz,Women's Bantamweight,Miesha Tate,Decision - Majority,Loss,R3,0:00
2741,Sara McMann,8/16/2014,UFC Fight Night 47: Bader vs. Saint Preux,Women's Bantamweight,Lauren Murphy,Decision - Split,Win,R3,0:00
2742,Sara McMann,2/22/2014,UFC 170: Rousey vs. McMann,Women's Bantamweight,Ronda Rousey,KO/TKO,Title Loss,R1,1:06
2743,Sara McMann,4/27/2013,UFC 159: Jones vs. Sonnen,Women's Bantamweight,Sheila Gaff,KO/TKO,Win,R1,4:06
2744,Daniel Omielanczuk,7/8/2017,UFC 213: Romero vs. Whittaker,Heavyweight,Curtis Blaydes,Decision - Unanimous,Loss,R3,0:00
2745,Daniel Omielanczuk,3/18/2017,UFC Fight Night: Manuwa vs. Anderson,Heavyweight,Tim Johnson,Decision - Split,Loss,R3,0:00
